Francais,Malagasy,Anglais
règne de (sous le),faha~,time of (at the)
saison (une),"taona,vanin-taona","season (a),year (a)"
samedi,"asabotsy,sabotsy",saturday
semaine prochaine (la),herinandro ambony,week (next)
semaine (une),herinandro,week (a)
septembre,"hiahia,septambra",september
sept jours,hafitoana,seven days
siècle (un),taonjato,century (a)
six jours,henemana,six days
soir (un),hariva,"afternoon (an),evening (an)"
temps à venir,doria,everlasting
temps de (du),faha~,time of (at the)
temps (de tout),hatrizay hatrizay,"beginning (from the),time past (through all)"
temps indéfini,doria,everlasting
temps-là (dans ce),fahizay,"time (at that),times (in former),times (in those)"
temps (les),taona,"season (a),year (a)"
temps (un),andro,"day (a),epoch (an),period (a)"
toujours,"barakizay,mandrakariva",always
trois jours,hateloana,three days
une fois,indray maka,"once,one time"
une seule fois,indray maka,"once,one time"
vendredi,"ajoma,jomà,zomà",friday
vingt et un jours,roatokom-bolana,three weeks
tourisme,fizahatany,tourism
ablutions,fidiovana,"restroom,toilet"
aéroport (un),fiantsonam-piaramanidina,airport (an)
consigne à bagages,fametrahana entana,"checkroom,left-luggage,lockers"
gare,fiantsonan-dalamby,railroad station
gargote,hôtely kely,greasy spoon
justification,fidiovana,"restroom,toilet"
objets trouvés,entana very,lost and found
toilettes,"fidiovana,toerana fidiovana","restroom,toilet"
w-c,fidiovana,"restroom,toilet"
tourisme:hébergement,fizahatany:fatoriana,tourism:lodging
tourisme:restauration,fizahatany:fisakafoana,tourism:food
tourisme:sites intéressants,fizahatany:toerana mahaliana,tourism:points of interest
transports,fitaterana,transportation
aérodrome (un),"fitodiam-piaramanidina,garam-piaramanidina",airport (an)
aéroport (un),"fitodiam-piaramanidina,garam-piaramanidina",airport (an)
aéroport (un),seranam-piaramanidina,airport (an)
autobus,"fiarabe,fiaram-bahoaka",bus
automobile,"aotomobilina,aoto",car
automobile (une),"fiarakodia,fiara","automobile (an),car (a),carriage (a),chaise (a),chariot (a),vehicle (a),wagon (a)"
avenue,lalambe,road
avion,fiaramanidina,airplane
avion (un),"aeroplanina,voromby",airplane (an)
ballon (un),balaonina,balloon (a)
bicyclette,bisikilety,bicycle
calèche (une),kalesy,"carriage (horse-drawn),carriage (railroad)"
chariot (un),kalesy,"carriage (horse-drawn),carriage (railroad)"
charrette (une),sarety,bullock-cart (a)
chemin de fer (un),lalamby,"railroad (a),railway (a)"
essence,lasantsy,"gasoline,petrol,turpentine"
locomotive (une),lohamasinina,locomotive (a)
par avion,am-piaramanidina,by air
parking,tobim-piarakodia,parking
rail (un),lalamby,"railroad (a),railway (a)"
remorque (une),fiara,vehicle (a)
route nationale (une),lalam-pirenena,"highway (national),road (national)"
route pavée (une),lalana rarivato,road (paved)
route provinciale (une),lalam-paritra,"highway (provincial),road (provincial)"
route,lalambe,road
station d'essence,tobin-dasantsy,gas station
taxi,"fiarakaretsaka,taksy",taxicab
térébenthine,lasantsy,"gasoline,petrol,turpentine"
tracteur (un),fiara,vehicle (a)
train,fiara-dalamby,train
véhicule (un),fiara,vehicle (a)
voie ferrée (une),lalamby,"railroad (a),railway (a)"
voiture (une),"fiara,kalesy","carriage (horse-drawn),carriage (railroad),vehicle (a)"
wagon (un),"kalesy,vagao","carriage (horse-drawn),carriage (railroad),railroad car (a)"
zoologie,haibiby,zoology
zoologie:art vétérinaire,haibiby:fitsaboina momba ny biby,zoology:veterinary art
castrer (action de),vosirina,castrated
châtre (qu'on),vosirina,castrated
châtrer,mamositra,castrate (to)
varroa,varoa,varroa mite
varroose,varoazy,varroosis
zoologie:invertébrés,haibiby:tsy manan-kazon-damosina,zoology:invertebrates
abeille,"renitantely,tantely,trembono",bee
abeilles (des),antely,"bee (a),bees"
abeille (une),"antely,fangaraka,renintantely","bee (a),bees,queen bee (a),wasp (a)"
araignée,halabe,spider
araignée (espèce d'),"halana,kapotane,vankio,vankôhy,voankôhy",spider (species of)
araignée (une),"bibimamany,hala",spider (a)
blatte,kalalao,cockroach
blatte (une),kalabe,cockroach (a)
bourdon,amboalambontantely,"bee (species of),drone"
bousier,voantay,beetle
cafard,kalalao,cockroach
cafard sifflant (un),sibato,hissing cockroach (a)
cafard (un),kalabe,cockroach (a)
cancrelat,"kalalao,kalangeta",cockroach
cancrelat (un),kalabe,cockroach (a)
chenille,"bia,fanday,fandese,tsibolobolo,tsibolo",caterpillar
chique,"maroantody,parasy lafrika","chigoe flea,jigger"
cigale,"angoaka,jorery",cicada
concombre de mer,dingadingana,"sea cucumber,trepang"
coque,akora,"coral,seashell,shell-fish"
coquillage,"akoran-dranomasina,akora,angaty,betampem-bato,bevoly,bozeke,dante,dosodoso,jonka,marañimboly,sonera","coral,seashell,shell-fish,shell"
coquille,akora,"coral,seashell,shell-fish"
corail,"akoran-dranomasina,akora","coral,seashell,shell-fish"
crabe à carapace molle (un),fozamalemy,crab without its shell
crabe,"antsanjy,drakaka,garagese,jakake,voantsanjy",crab
crabe (un),"afoza,ambiko,dakatra,foza",crab (a)
criquet (un),valala,"grasshopper (a),locust (a)"
drosophile (une),lalitra,"fly (a),housefly (a)"
écrevisse (une),orana,"crayfish (a),shrimp (a)"
escargot (un),"lelosy,sifotra",snail (a)
fourmi (une),vitsika,ant (an)
grillon femelle (un),banty,cricket (female)
grillon,"antsiona,antsiondahy,antsionkary,kabanty,kabatita,kaniry",cricket
grillon (un),angely,cricket (a)
guêpe,kitoka,wasp
guêpe (une),fanenitra,wasp (a)
hanneton,"vangoa,voambaratra,voangory",beetle
holothurie,"benono,dingadingana","sea cucumber,trepang"
insecte (nom d'),bina,insect (name of)
langouste (une),ambiko,crab (a)
larve de libellule,ondrindrano,dragon-fly larva
libellule,angidina,dragonfly
limace (une),sifotra,snail (a)
luciole (espèce d'),harendrina,insect (kind of)
luciole (une),"angamenavava,karendrina,kirendrina,kirendriñy,rendrina",firefly (a)
mante religieuse (une),famakiloha,praying mantis (a)
mollusque (un),sifotra,snail (a)
moucheron,"aloiloy,aloy","gnat,mosquito"
mouche (une),"lalitra,lalitry","fly (a),housefly (a)"
moustique,"aloy,moka","gnat,mosquito"
mygale,amboabe,mygale
papillon (un),"lolo,samoina","butterfly (a),moth (a),silkworm (a)"
pieuvre (une),horita,octopus (an)
pou,"haombary,hao","louse,tick"
puce,parasy,flea
punaise (une),kongona,"bedbug (a),tick (a)"
sangsue (espèce de),"dintanala,dintandrano",leech (species of)
sangsue,"dinta,linta",leech
sangsue (une),"dintamborona,lintana",leech (a)
sauterelle (espèce de),"adrisa,aketalahy,aketa,ambolokely,ambolovarahina,ambolo,ampongavato","grasshopper (species of),locust (species of)"
sauterelle (espece de),dabo,grasshopper (species of)
sauterelle (espèce de),"daronambolo,dongara,kijeja,koraika,mahaverizoky,ramijaingy,sompanga,tsikondry,tsimbaivay,tsimbatavata,tsimbolavola,tsimbotry,tsimpefe,tsindakana,tsindrano,tsingentana,tsipefe,valalamena,zafinadrisa","grasshopper (species of),locust (species of)"
sauterelle,"apanga,apipiky",locust
sauterelle (une),valala,"grasshopper (a),locust (a)"
sauterelle verte (espèce de),ambolobitaka,grasshopper (species of green)
scorpion,"halampasy,halandevo,halatsako,hefintsako,hefy,maingoka,mambahehitra,mambambohitra",scorpion
scorpion (un),hala,spider (a)
telline (une),tekateka,coquina clam (a)
ténia,"sakoitra,viky vahy",tenia
termite,"aboalina,votry",termite
termite (un),aboaly,"ant (species of),termite (a)"
termitière,votry,termite
tique (un),kongona,"bedbug (a),tick (a)"
trépang,dingadingana,"sea cucumber,trepang"
ver à soie (un),landy,silkworm (a)
ver à soie (un),"bibin-dandy,samoina","moth (a),silkworm (a)"
ver luisant (espèce de),harendrina,insect (kind of)
ver luisant (un),angamenavava,firefly (a)
ver (un),"ankaña,hankana",worm (a)
ver,"esa,kana,kankana,kankandoroka,kankanjila,olitra,sakoitra,viky","tenia,worm"
zoologie:mammifères,haibiby:mampinono,zoology:mammals
âne (un),ampondra,"donkey (a),mule (a)"
annesse (une),ampondra,"donkey (a),mule (a)"
aye-aye,aiay,"aye-aye,lemur"
bactrien,rameva,"bactrian,camel"
baleine,"fitamba,trozona",whale
belette,kionkiona,weasel
biche (une),"diera,serfa",deer (a)
boeuf (un),"omby,rana","cattle,cow (a),ox (an)"
bouc (un),osy,goat (a)
bourrique (une),ampondra,"donkey (a),mule (a)"
brebis (une),reniondry,ewe (a)
cabri,bengy,goat
cerf (un),"diera,serfa",deer (a)
chameau,"angamia,rameva","bactrian,camel,dromedary"
chameau (un),angamenavava,"camel (a),dromedary (a)"
chat sauvage (espèce de),ampaha,cat (species of)
chat sauvage (un),"kary,saka dia",cat (a wild)
chat (un),"moaro,piso,saka,tabalaka","cat (a),pussy (a)"
chauve-souris,"angavo,fanihy,manavy,ramanavy","bat,flying fox"
cheval,"farasy,soavaly",horse
chèvre,bengy,goat
chèvre (une),osy,goat (a)
chienne (une),"alika,amboa,fandroaka",dog (a)
chiens (des),alika,dog (a)
chien (un),"alika,amboa,fandroaka,kivahy",dog (a)
chiot (un),anoka,puppy (a)
civette,"alazy,fanaloka,jabady,jaboada,jaboady,tambotsodina,telofory","civet,ichneumon"
cochon (un),"kisoa,lambo","boar (a),pig (a)"
dauphin (un),lambondriaka,"porpoise (a),sea hog (a)"
dromadaire,angamia,"camel,dromedary"
dromadaire (un),angamenavava,"camel (a),dromedary (a)"
euplère de goudot,fanaloka,ichneumon
furet,vontsira,ferret
galidie à bandes étroites,boky boky,mongoose (narrow-striped)
galidie,"salana,vontsira",ferret
genette (une),fosa,genet (a)
génisse (une),"omby,vantotr' ombivavy,vantotr' omby","cattle,cow (a),heifer (an),ox (an)"
hapalémur doré,bokombolo mena,lemur (golden bamboo)
hapalémur doré (un),varibolomena,lemur (golden bamboo)
hapalémur,"bokombolo,kotrika","lemur (species of),lemur"
hémicentetes,sora,tenrec (streaked)
hérisson (un),"ambiko,sokina,tambotrika","hedgehog (a),hedgehog tenrec (greater),temnrec (streaked),tenrec (greater hedgehog)"
lapin (un),bitro,"hare (a),rabbit (a)"
lémurien à ventre rouge,"soamiera,tongona",red-bellied lemur
lémurien à ventre rouge,barimaso,lemur (red-bellied)
lémurien (espèce de),"amboanala,kotrika,tsidika,tsidy be","fat-tailed dwarf lemur,lemur (a species of),lemur (species of)"
lémurien (espèce de),"ankombamena,antima,endrina,halo,tsilika,varikaosy",lemur (species of)
lémurien gris,maky,ring-tailed grey lemur
lémurien,"ahay,aiay,alokoteha,ampongy,ankomba valiha,ankomba,apongy,avahy,beharavoaka,bekola,boenga,boengy,bokombolo,dadintsifaky,dredrika,fitiliky,fitily,fotsifaka,fotsife,hahay,halobe,halokotehina,hira,kely be-ohy,kintrontro,komba,sifaka,simpona,simpony,songiky,tantaraolana,tanta,titilivaha,trangalavaka,tsarafangitra,tsibahaka,tsiba,tsidy kely,tsidy,tsimaho,tsitsidy,tsitsihy,tsitsily,vakiandry,vakivoho,varibolo,varikamavo,varika,varikosy","aye-aye,berthe's mouse lemur,coquerel dwarf lemur,grey mouse lemur,lemur,red-tailed sportive lemur,weasel lemur"
lémurien (une espèce de),ankomba malandy,lemur (a kind of)
lémurien (une espècw de),ankombajoby,lemur (a kind of)
lémurien (un),"bandro,hataka",lemur (a)
lémurien (un),"babakoto,gidro","lemur (a),lemur indri (a),mongoose lemur,monkey (a),red-fronted lemur"
lémur (un),gidro,"lemur (a),mongoose lemur,monkey (a),red-fronted lemur"
lémur vari,"varikandana,varikandrana,varikandra,vary","lemur (black-and-white ruffed lemur),lemur (black-and-white ruffed),lemur (blank-and-white ruffed)"
lémur vari rouge,"varimena,variñena",lemur (red ruffed)
lépilémur de milne-edwards,repahaka,"milne-edwards' sportive lemur,milne-edwards' weasel lemur"
lépilémur du nord,mahiabeala,"northern sportive lemur,northern weasel lemur"
lépilémur,boenga,"lemur,red-tailed sportive lemur"
lépilemur,"fitiliky,trangalavaka","lemur,weasel lemur"
lièvre (un),bitro dia,hare (a)
lion,liona,lion
loup,amboadia,wolf
maki (un),gidro,"lemur (a),mongoose lemur,monkey (a),red-fronted lemur"
mangouste à dix raies,boky boky,mongoose (narrow-striped)
marsouin,lambondrano,porpoise
marsouin (un),lambondriaka,"porpoise (a),sea hog (a)"
microcèbe de coquerel,"setohy,siba,tilitilivaha",coquerel's dwarf lemur
microcèbe,"fitily,tsiba,tsidy","coquerel dwarf lemur,grey mouse lemur,lemur"
minet (un),piso,"cat (a),pussy (a)"
minou (un),piso,"cat (a),pussy (a)"
mouton,"aonje,besavily,ondry",sheep
mouton (un),ondrikondrika,lamb (a)
mule,"mole,ramole",mule
mulet,"mole,ramole",mule
petit cheirogale,matavirambo,fat-tailed dwarf lemur
petit microcèbe,"koitsiky,pondiky",gray mouse lemur
porc (un),"kisoa,lambo","boar (a),pig (a)"
propithèque de perrier,rajako,perrier's sifaka
propithèque de verreaux,sifaka-bilany,verreaux's sifaka
rat,"maroantrano,vositse",giant jumping rat
rat (un),"rabaraba,valavo,voalavo",rat (a)
renard,amboahaolo,"dog (a wild),fox (a)"
rhinocéros (un),tokantandroka,rhinoceros (a)
roussette,"andrehy,fanihy,manavibe,ositra","bat,flying fox"
sanglier (un),lambo,"boar (a),pig (a)"
singe,"jako,rajako",monkey
singe (un),gidro,"lemur (a),mongoose lemur,monkey (a),red-fronted lemur"
souris,"kajoy,totozy","mice,mouse"
tangue,trandraka,tenrec (tail-less)
taureau,"lahin' omby,ombalahy",bull
taureau (un),"aombilahy,ombilahy,omby","bull (a),cattle,cow (a),ox (an)"
tenrec aquatique,voalavon-drano,"tenrec (aquatique),tenrec (web-footed)"
tenrec commun,trandraka,tenrec (tail-less)
tenrec (grand),trandraka,tenrec (tail-less)
tenrec hérisson (grand),sokina,"hedgehog (a),hedgehog tenrec (greater),tenrec (greater hedgehog)"
tenrec hérisson (petit),tambotriky,tenrec (lesser hedgehog)
tenrec zébré,ambiko,"hedgehog (a),temnrec (streaked)"
vache (une),omby,"cattle,cow (a),ox (an)"
zébu,jamòka,zebu
zoologie:oiseaux,haibiby:vorona,zoology:birds
aigle (un),voromahery,eagle (an)
aigrette,"karaza,langaraka,langorofotsy,vanofotsy,vanokitsangy,voronomby","egret,heron (species of),heron"
aigrette (une),vorompotsy,egret (an)
alouette,"sorohitra,tentena","lark,skylark"
autruche,"aositrisy,aositritsy",ostrich
bécassine,kitanotano,"rail,snipe"
bergeronnette (une),triotrio,wagtail (a)
bouvreuil nain (un),tsikirity,"bullfinch (a),weaver-finch (a)"
bulbul noir,"horovana,tsikoreva,tsikorovana",bulbul (madagascar black)
buse,"bobaky,tenôro",buzzard
buse (une),fanindry,buzzard (a)
caille (une),"kibobo,kibo,menamaso,papelika",quail (a)
canard à bosse (un),ara,duck (species of)
canard,"angàka,arosy,dokotra,ganagana,kanakana,sadakely,sarindokotra,tahia","duck,goose"
canard (un),"dokitry,tsiriry,vorombazaha","duck (a),teal (a)"
cane,"ganagana,kanakana",duck
cane (une),vorombazaha,duck (a)
cardinal (un),fody,"cardinal (a),rice-bird (a),rice-sparrow (a),weaver-finch (a)"
colombe (une),voromailala,"dove (a),pigeon (a)"
coq,"akôlahy,lampirana",grouse
coq (un),akoholahy,rooster (a)
corbeau,"goaika,goaky,voronkahaka",crow
cormoran,"famefaganty,ramangavia",cormorant
coucou,"laivozake,tolohoranto,tolohovozake",cuckcoo
coucou (un),"kankafotra,toloho","cuckoo (a),cuckoo"
courlis huppé,akoholahinala,crested ibis
crécerelle (une),hitsikitsika,kestrel (a)
dinde (une),vorontsiloza,turkey (a)
dindon (un),vorontsiloza,turkey (a)
drongo malgache,railovy,drongo (crested)
engoulevent,"matoriandro,tantary","goatsucker,nighthawk,nightjar"
engoulevent (espèce d'),fandikalalana,goatsucker (species of)
épervier (un),voromahery,eagle (an)
flamant (un),sama,flamingo (a)
glaréole,viko-viko,pratincole
grèbe,"kiborano,tsiriry,vivy","duck (a),grebe,teal (a),waterfowl"
guinette,fandiafasika,sandpiper (species of)
héron (espèce de),"vanobe,vanofotsy,vanomainty","heron (species of,heron (species of)"
héron,"fiandrivoditatratra,kilandy,langoromavo,rainibao,vanokagira",heron
héron,"koadrano,langoroaomby,langorobe,langorovalala","egret,heron"
héron (un),vano,heron (a)
héron (un),vorompotsy,egret (an)
hibou (espèce de),vorombozaka,owl (an)
hibou (un),vorondolo,owl (an)
hirondelle,"firiotsandro,sidisidina",swallow
hirondelle (une),sidintsidina,swallow (a)
huppe (une),"barao,drao,takadalana,takodara,tsakodara",hoopoe (a)
ibis huppé,akoholahinala,crested ibis
jars (un),gisalahy,gander (a)
martin-pêcheur,"marotaina,vintsy",kingfisher
merle cendré,"horovana,horova",bulbul (madagascar black)
merle,"tsikorevo,tsikorotana",blackbird
mésange,lavasalaka,"titmouse,tit"
milan malgache (un),papango,"hawk (a),kite (a)"
nectarinie,"sohimanga,soimanga",passerine
nectarinie (une),sohihy,passerine (a)
oie,"arosy,gisa,gisy","duck,geese,goose"
oie (une),vorombe,"geese,goose (a)"
oiseau (espèce d'),"antodiana,fangaoka,jery,kiriodanitra,tantary,taotaonkafa,tataraka,tenôro,tentena,tivoky,tontoroka,tretreky,tsakirovy,tsangaritra,tsararaoka,tsidintsidina,tsihitsiky,tsiketriky,tsikiranta,tsikirikirio,tsikorevo,tsimadekitatama,tsimandrialina,tsimatimangina,tsintsina,tsivoko,tsohontsoho,tsokoza,tsoporitiky","bird (kind of),bird (species of)"
oiseau,"faralambotra,sakobonkomana,taotso,tsaporitika,vorondreo","bird,duck"
oiseau (un),"vorona,vôroño","bird (a),waterfowl (a)"
ombrette,takatra,"hammerkop,tufted umber,umber"
paonne (uns),vorombola,"peacock (a),peahen (a)"
paon (un),vorombola,"peacock (a),peahen (a)"
papangue (un),papango,"hawk (a),kite (a)"
perdrix,"katrakatra,tsipoy",partridge
perroquet (espèce de),"boaiza,bodoloha,boeza,boezy",parrot (species of)
perroquet,boloky,parrot
perruche(espèce de),boaiza,parrot (species of)
perruche,"kararôka,kitrioky,sarivazo",parrot
petit duc,torotoroka,scops-owl (malagasy)
phaéton à queue rouge,vorompano,red-tailed tropicbird
pigeon,"finigo,fonimaitso,pakatova",pigeon
